Id,firstflrsf,GrLivArea,LotArea,GarageArea,BsmtUnfSF,TotalBsmtSF,LotFrontage,GarageYrBlt,MoSold,YearBuilt,SalePrice
1,856,1710,8450,548,150,856,65.0,2003.0,2,2003,208500
2,1262,1262,9600,460,284,1262,80.0,1976.0,5,1976,181500
3,920,1786,11250,608,434,920,68.0,2001.0,9,2001,223500
4,961,1717,9550,642,540,756,60.0,1998.0,2,1915,140000
5,1145,2198,14260,836,490,1145,84.0,2000.0,12,2000,250000
6,796,1362,14115,480,64,796,85.0,1993.0,10,1993,143000
7,1694,1694,10084,636,317,1686,75.0,2004.0,8,2004,307000
8,1107,2090,10382,484,216,1107,0.0,1973.0,11,1973,200000
9,1022,1774,6120,468,952,952,51.0,1931.0,4,1931,129900
10,1077,1077,7420,205,140,991,50.0,1939.0,1,1939,118000
11,1040,1040,11200,384,134,1040,70.0,1965.0,2,1965,129500
12,1182,2324,11924,736,177,1175,85.0,2005.0,7,2005,345000
13,912,912,12968,352,175,912,0.0,1962.0,9,1962,144000
14,1494,1494,10652,840,1494,1494,91.0,2006.0,8,2006,279500
15,1253,1253,10920,352,520,1253,0.0,1960.0,5,1960,157000
16,854,854,6120,576,832,832,51.0,1991.0,7,1929,132000
17,1004,1004,11241,480,426,1004,0.0,1970.0,3,1970,149000
18,1296,1296,10791,516,0,0,72.0,1967.0,10,1967,90000
19,1114,1114,13695,576,468,1114,66.0,2004.0,6,2004,159000
20,1339,1339,7560,294,525,1029,70.0,1958.0,5,1958,139000
21,1158,2376,14215,853,1158,1158,101.0,2005.0,11,2005,325300
22,1108,1108,7449,280,637,637,57.0,1930.0,6,1930,139400
23,1795,1795,9742,534,1777,1777,75.0,2002.0,9,2002,230000
24,1060,1060,4224,572,200,1040,44.0,1976.0,6,1976,129900
25,1060,1060,8246,270,204,1060,0.0,1968.0,5,1968,154000
26,1600,1600,14230,890,1566,1566,110.0,2007.0,7,2007,256300
27,900,900,7200,576,180,900,60.0,2005.0,5,1951,134800
28,1704,1704,11478,772,486,1704,98.0,2008.0,5,2007,306000
29,1600,1600,16321,319,207,1484,47.0,1957.0,12,1957,207500
30,520,520,6324,240,520,520,60.0,1920.0,5,1927,68500
32,1228,1228,8544,271,1228,1228,0.0,1966.0,6,1966,149350
33,1234,1234,11049,484,1234,1234,85.0,2007.0,1,2007,179900
34,1700,1700,10552,447,380,1398,70.0,1959.0,4,1959,165500
35,1561,1561,7313,556,408,1561,60.0,2005.0,8,2005,277500
36,1132,2452,13418,691,1117,1117,108.0,2004.0,9,2004,309000
37,1097,1097,10859,672,1097,1097,112.0,1995.0,6,1994,145000
38,1297,1297,8532,498,84,1297,74.0,1954.0,10,1954,153000
39,1057,1057,7922,246,326,1057,68.0,1953.0,1,1953,109000
40,1152,1152,6040,0,0,0,65.0,1979.0,6,1955,82000
41,1324,1324,8658,440,445,1088,84.0,1965.0,12,1965,160000
42,1328,1328,16905,308,383,1350,115.0,1959.0,7,1959,170000
43,884,884,9180,504,0,840,0.0,1983.0,12,1983,144000
44,938,938,9200,308,167,938,0.0,1977.0,7,1975,130250
45,1150,1150,7945,300,465,1150,70.0,1959.0,5,1959,141000
46,1752,1752,7658,576,1296,1752,61.0,2005.0,2,2005,319900
47,1518,2149,12822,670,83,1434,48.0,2003.0,8,2003,239686
48,1656,1656,11096,826,1632,1656,84.0,2006.0,7,2006,249700
49,736,1452,4456,0,736,736,33.0,1979.0,6,1920,113000
50,955,955,7742,386,192,955,66.0,1966.0,1,1966,127000
51,794,1470,13869,388,612,794,0.0,1997.0,7,1997,177000
52,816,1176,6240,528,816,816,52.0,1985.0,9,1934,114500
53,816,816,8472,516,0,816,110.0,1963.0,5,1963,110000
54,1842,1842,50271,894,32,1842,68.0,1981.0,11,1981,385000
55,1360,1360,7134,572,0,384,60.0,1962.0,2,1955,130000
56,1425,1425,10175,576,935,1425,100.0,1964.0,7,1964,180500
57,983,1739,2645,480,321,970,24.0,1999.0,8,1999,172500
58,860,1720,11645,565,860,860,89.0,2004.0,8,2004,196500
59,1426,2945,13682,641,1410,1410,66.0,2006.0,10,2006,438780
60,780,780,7200,352,148,780,60.0,1973.0,1,1972,124900
61,1158,1158,13072,576,217,1158,63.0,2006.0,5,2004,158000
62,581,1111,7200,288,530,530,60.0,1935.0,3,1920,101000
63,1370,1370,6442,484,1346,1370,44.0,2006.0,10,2006,202500
64,902,1710,10300,480,576,576,50.0,1990.0,4,1921,140000
65,1057,2034,9375,645,318,1057,0.0,1998.0,2,1997,219500
66,1143,2473,9591,852,1143,1143,76.0,2004.0,10,2004,317000
67,2207,2207,19900,576,1035,1947,0.0,1970.0,7,1970,180000
